Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
OK Jaanu,2017,"Drama, Romance",Not Rated,tt5764024,Mani Ratnam,Shaad Ali,"Aditya Roy Kapoor, Shraddha Kapoor, Naseeruddin Shah","Adi and Tara move to Mumbai to pursue their dreams. A chance meeting sparks off a heady, no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?",India,5.2,135 min
Veere Di Wedding,2018,Comedy,N/A,tt5842616,Nidhi Mehra,Shashanka Ghosh,"Kareena Kapoor, Sonam Kapoor, Swara Bhasker",Four girls on their way to find true love discover that their friendship must remain strong until the wedding of a friend named Veer.,India,3.3,135 min
Dear Zindagi,2016,"Drama, Romance",Not Rated,tt5946128,Krishnan Hariharan,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imper...",India,7.4,151 min
Jolly LLB 2,2017,"Comedy, Crime, Drama",Not Rated,tt5982852,Subhash Kapoor,Subhash Kapoor,"Akshay Kumar, Huma Qureshi, Saurabh Shukla",Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,India,7.2,137 min
Naam Shabana,2017,"Action, Drama, Thriller",Not Rated,tt6170954,Neeraj Pandey,Shivam Nair,"Taapsee Pannu, Akshay Kumar, Manoj Bajpayee","This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana, and chronicles how she becomes a spy.",India,6.2,147 min
Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy",Not Rated,tt6277462,Hussain Dalal,Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",India,5.6,167 min
The Ghazi Attack,2017,"Action, Thriller, War",Not Rated,tt6299040,Sankalp Reddy,Sankalp Reddy,"Rana Daggubati, Kay Kay Menon, Atul Kulkarni","A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",India,7.5,116 min
Bhool Bhulaiyaa 2,2022,"Comedy, Drama, Horror",N/A,tt6455162,Aakash Kaushik,Anees Bazmee,"Tabu, Kartik Aaryan, Kiara Advani","When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years.",India,5.7,143 min
Behen Hogi Teri,2017,Comedy,N/A,tt6537508,Sanchit Gupta,"Ajay Pannalal, Arvind Singh Rajpoot","Rajkummar Rao, Shruti Haasan, Gautam Gulati",A jobless youngster has to fight with criminal rivals who come to snatch away his neighborhood lady love as a bride and also his family which seems not to take note of his feelings towards the girl next door.,India,5.6,128 min
Hichki,2018,"Comedy, Drama",Not Rated,tt6588966,Anckur Chaudhry,Malhotra P. Siddharth,"Rani Mukerji, Naisha Khanna, Hussain Dalal","Suffering from Tourette Syndrome, Naina gets assigned a class of defiant students and must ensure that her students realise their potential.",India,7.5,116 min
Parmanu: The Story of Pokhran,2018,"Action, Drama, History",Not Rated,tt6826438,Saiwyn Quadras,Abhishek Sharma,"John Abraham, Boman Irani, Diana Penty","Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",India,7.6,129 min
Bose: Dead/Alive,2017,"Biography, History, Mystery",TV-MA,tt6883044,Ekalavya Bhattacharya,N/A,"Rajkummar Rao, Naveen Kasturia, Edward Sonnenblick","The man. The legend. The mystery. He fascinated us in life, and long after his ""death"". This is the story of India's biggest cover-up: Netaji Subhash Chandra Bose and the mystery of his alleged death.",India,8.7,20 min
Kedarnath,2018,"Drama, Romance",Not Rated,tt7027278,Abhishek Kapoor,Abhishek Kapoor,"Sushant Singh Rajput, Sara Ali Khan, Nitish Bharadwaj","Mansoor, a reserved and reticent Pithoo, helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love.",India,6.7,116 min
No Doubt,2019,"Comedy, Romance",N/A,tt7368186,Clarence Williams IV,Clarence Williams IV,"Tara Kaye Burgh, Adam Stern-Rand, Marquis Wood",Two millennials connect on an online dating site and decide to spend an evening together.,United States,5.2,71 min
One Day We'll Tell Each Other Everything,2023,"Drama, History, Romance",N/A,tt21654390,Emily Atef,Emily Atef,"Marlene Burow, Felix Kramer, Cedric Eich","Set in a warm summer in 1990 in former East Germany, it follows a young woman who begins a relationship with a charismatic farmer who is twice her age.",Germany,6.1,129 min
Barood,2015,Action,N/A,tt7243728,Padmanabha Dasgupta,Soumik Haldar,"Mainak Banerjee, Nina Chakraborty, Ritabhari Chakraborty, Koushik Kar","Barood is a story of today's youngsters being exploited by corruption. Jui, an innocent girl, falls in love with a loafer Shaon. And this turns Shaon's life upside down. The lovebirds wish ...",India,N/A,N/A
War,2019,"Action, Adventure, Thriller",Not Rated,tt7430722,Siddharth Anand,Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor","Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins.",India,6.5,151 min
JL50,2020,"Drama, Sci-Fi, Thriller",N/A,tt7441984,Shailender Vyas,N/A,"Abhay Deol, Pankaj Kapur, Ritika Anand","A plane is discovered to have recently crashed in West Bengal. However, what is so baffling about the incident is that plane originally went missing 35 years ago.",India,7.4,1 min
Rogue Agent,2022,"Drama, Thriller",N/A,tt9731386,Michael Bronner,"Declan Lawn, Adam Patterson","James Norton, Matthew Douglas, Rob Malone","The extraordinary and chilling story of career conman Robert Freegard who masqueraded as an MI5 agent and fooled people into going into hiding, and the woman who fell for him, and then brought him down.","United Kingdom, Germany, United States",6.4,115 min
Tanhaji: The Unsung Warrior,2020,"Action, Biography, Drama",Not Rated,tt8108274,Prakash Kapadia,Om Raut,"Ajay Devgn, Saif Ali Khan, Sharad Kelkar","Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",India,7.5,135 min
Panipat,2019,"Action, Drama, History",Not Rated,tt8176040,Ranjeet Bahadur,Ashutosh Gowariker,"Arjun Kapoor, Sanjay Dutt, Kriti Sanon","The Great Betrayal is a War Epic set in 1761, when Sadashiv Rao Bhau Peshwa led the Maratha army to the north of India to repel the invading forces of Ahmad Shah Abdali, the King of Afghanistan.",India,5.2,171 min
Uri: The Surgical Strike,2019,"Action, Drama, History",Not Rated,tt8291224,Aditya Dhar,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",India,8.2,138 min
Jalebi,2018,"Drama, Romance",Not Rated,tt8426854,Pushpdeep Bhardwaj,"Pushpdeep Bhardwaj, Lal Mohan","Rhea Chakraborty, Varun Mitra, Digangana Suryavanshi",A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,India,6,112 min
Bidai Byomkesh,2018,Drama,N/A,tt8427166,Rohini Ghosh,Debaloy Bhattacharya,"Rupankar Bagchi, Rahul Banerjee, Bidipta Chakraborty","An aged Byomkesh Bakshi and a tale of his family. After 2 years of exile, one night 'Khoka' A.K.A Abhimanyu Bakshi surrenders in a police station declaring a murder. His son Satyaki initially accepts that fact but after his grandf...",India,5.2,121 min
Take me Somewhere Nice,2019,Drama,N/A,tt8567342,Ena Sendijarevic,Ena Sendijarevic,"Sara Luna Zoric, Lazar Dragojevic, Ernad Prnjavorac","On the edge of adulthood, Alma leaves her mother's home in the Netherlands and travels to her native Bosnia to visit the father she's never met. But from the start, nothing goes as planned.","Netherlands, Bosnia and Herzegovina",6.3,91 min
Ambar Sen Antordhan Rahasyo,1999,"Adventure, Crime, Thriller",N/A,tt8690662,Satyajit Ray,Sandip Ray,"Chitrabhanu Basu, Bibhu Bhattacharya, Sabyasachi Chakrabarty","Ambar Sen a well educated, intelligent man with a good depth of knowledge on different subjects came to Feluda for a case and gave him a letter on which someone or any group threatened Amber babu a few days ago. The very next day ...",India,6,49 min
Ghurghutiyar Ghotona,1998,Mystery,N/A,tt9004906,N/A,N/A,"Sabyasachi Chakrabarty, Saswata Chatterjee, Amar Gangopadhyay","Felua and Topshe are invited to the house of Kalikinkar Mukherjee, who wants them to unlock a locker combination uttered by his parrot. Feluda finds that out, in addition he finds out something more- a murder.",India,7.3,N/A
Jahangirer Swarnamudra,1998,"Adventure, Crime, Mystery",N/A,tt9034728,Satyajit Ray,Sandip Ray,"Dwijen Banerjee, Bibhu Bhattacharya, Sabyasachi Chakrabarty","A businessman invites his business partner, classmate and a friend on his 50th birthday. After dinner while the man showing some priceless coins of Jahangir, electricity goes off and later that day the man confirms one of his coin...",India,7.3,N/A
Chhichhore,2019,"Comedy, Drama, Romance",Not Rated,tt9052870,Piyush Gupta,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",India,8.3,143 min
Mission Mangal,2019,"Drama, History",Not Rated,tt9248972,R. Balki,Jagan Shakti,"Akshay Kumar, Vidya Balan, Taapsee Pannu","Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.",India,6.5,130 min
Angela,2023,"Biography, Crime, Drama",N/A,tt28118695,Duda de Almeida,Hugo Prata,"Isis Valverde, Gabriel Braga Nunes, Alice Carvalho","After a turbulent separation and having to give up custody of her three children, the famous socialite Ângela Diniz meets Raul, and believes she has found someone who loves her free spirit as much as she does.",Brazil,N/A,104 min
Meet Cute,2022,"Comedy, Drama, Fantasy",TV-MA,tt14900738,Noga Pnueli,Alex Lehmann,"Kaley Cuoco, Pete Davidson, Kevin Corrigan","What would you do if you could travel to your loved ones' past, heal their traumas, fix their problems, and change them into the perfect partner?",United States,5.7,89 min
Hawa,2022,"Drama, Mystery",N/A,tt10928202,Mejbaur Rahman Sumon,Mejbaur Rahman Sumon,"Chanchal Chowdhury, Nazifa Tushi, Nasir Uddin Khan",Miracles about the life story of fishermen.,"Bangladesh, France",7.7,131 min
Animal,2023,"Action, Crime, Drama",N/A,tt13751694,Suresh Bandaru,Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol","A father, who is often away due to work, is unable to comprehend the intensity of his son's fervent love and admiration, which creates conflict between both of them.",India,6.8,204 min
Durgeshgorer Guptodhon,2019,"Adventure, Comedy, Drama",N/A,tt9537068,Subhendu Dasmunshi,Dhrubo Banerjee,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha",The adventurous trip of Abir and Jhinuk takes them to the legendary Durgeshgor.,India,6.7,133 min
�corch�s,2005,"Crime, Thriller",N/A,tt0410557,Cheyenne Carron,Cheyenne Carron,"Vincent Martinez, Mélanie Thierry, Frédéric Saurel","A young couple set out for the quiet of a country house. During their stay, hidden from other people's gazes, they slip into a violent and passionate relationship that will drive them to commit a dreadful act.",France,5.3,77 min
Forbidden Love,2020,Romance,N/A,tt13026912,N/A,N/A,"Pooja Kumar, Ali Fazal, Patralekhaa Paul","A housewife's affair with a free-spirited man unleashes jealousy and betrayal, trapping her in a web of deceit that threatens her marriage.",India,5.4,N/A
Guptodhoner Sondhane,2018,Adventure,Not Rated,tt8374266,Rohini Ghosh,Dhrubo Banerjee,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha",Abir and his companions visit his ancestral mansion only to find that his dead uncle has left behind a series of clues for him to unearth the hidden treasure of Mughal prince Shah Shuja kept secured within the property.,India,6.8,130 min
The Story of Marie and Julien,2003,"Drama, Fantasy, Mystery",Not Rated,tt0339357,Pascal Bonitzer,Jacques Rivette,"Emmanuelle Béart, Jerzy Radziwilowicz, Anne Brochet","Middle-aged Julien lives alone with his cat. He dreams of Marie, and a few minutes later, he sees her on the street and makes a date. He asks her to move in with him, and she does. Her boyfriend is dead, the rest of her past a mys...","France, Italy",6.8,150 min
Jan Dara: The Beginning,2012,"Drama, Romance",N/A,tt2599106,Utsana Phleungtham,M.L. Pundhevanop Dhewakul,"Mario Maurer, Chaiyapol Jullian Poupart, Sakrat Ruekthamrong","Set in the 1930s the story of Jan, a boy who grows up in a house lorded over by his sadistic and debauched father, Luang Wisnan. The story recounts the growing pains of Jan, whose mother dies while giving birth to him and who's in...",Thailand,5.7,137 min
Jan Dara: The Finale,2013,Drama,N/A,tt2670454,Utsana Phleungtham,M.L. Pundhevanop Dhewakul,"Mario Maurer, Chaiyapol Jullian Poupart, Sakrat Ruekthamrong","Jan Dara returns to Bangkok to take revenge against the man who has made his life a living hell. The fire of vengeance consumes him so much, that he's becoming the man he hated all his life. He wants to see those who wronged him s...",Thailand,5.5,138 min
Karnasubarner Guptodhon,2022,"Adventure, Mystery, Thriller",N/A,tt22336444,Dhrubo Banerjee,Dhrubo Banerjee,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha","Sona Da, Abir and Jhinuk come across a riddle that turns their vacation into a dangerous quest for the hidden treasure of King Shashanka, one of the best-kept secrets of Bengal.",India,6,128 min
L'enfer,2005,Drama,N/A,tt0430224,Krzysztof Kieslowski,Danis Tanovic,"Emmanuelle Béart, Karin Viard, Marie Gillain",Three sisters share a connection to a violent incident from their childhood reunite to for the chance to come to terms with their past.,"France, Italy, Belgium, Japan",6.8,102 min
Only You,2018,"Drama, Romance",Not Rated,tt7531138,Harry Wootliff,Harry Wootliff,"Laia Costa, Stuart Martin, Lisa McGrillis","Elena and Jake meet by chance on New Years Eve, arguing for the same taxi. However, instead of going their separate ways after sharing a taxi, they initiate a determined relationship.","United Kingdom, Sweden",6.7,119 min
Palitan,2021,Drama,N/A,tt16392846,Honeylyn Joy Alipio,Brillante Mendoza,"Cara Gonzales, Jela Cuenca, Luis Hontiveros","When a dare pushes two couples into an orgy, suppressed feelings rekindle between the two ladies, who were once bestfriends and lovers.",Philippines,5.3,107 min
Rocket Boys,2022,"Drama, History",N/A,tt13868972,Nikkhil Advani,N/A,"Jim Sarbh, Saba Azad, Regina Cassandra","The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",India,8.9,3 min
Forever First Love,2020,"Drama, Romance",N/A,tt10485148,Luke Mayze,Luke Mayze,"Steven Rooke, Carlotta Morelli, Hugo Stinson","Paul is a photographer who runs into his first love, Anna in a busy Filipino market. The traveler's passions reignite, their principles on relationships, religion and morality clash. The night they spend together will change every...","Australia, Philippines",5.1,80 min
Sam Bahadur,2023,"Biography, Drama, War",N/A,tt10786774,Meghna Gulzar,Meghna Gulzar,"Vicky Kaushal, Sanya Malhotra, Fatima Sana Shaikh",Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.,India,7.9,150 min
Special OPS,2020,"Action, Crime, Thriller",TV-MA,tt11854694,Neeraj Pandey,N/A,"Kay Kay Menon, Karan Tacker, Gautami Kapoor","The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades.",India,8.6,2 min
La Belle Noiseuse,1991,Drama,Unrated,tt0101428,Pascal Bonitzer,Jacques Rivette,"Michel Piccoli, Jane Birkin, Emmanuelle Béart","The former famous painter Frenhofer revisits an abandoned project using the girlfriend of a young visiting artist. Questions about truth, life, and artistic limits are explored.","France, Switzerland",7.5,238 min
The Concubine,2012,"Drama, History, Romance",Unrated,tt2544120,Yoon-Jung Hwang,Dae-seung Kim,"Cho Yeo-jeong, Kim Dong-wook, Kim Min-joon","A tragic love triangle story between Hwa-Yeon, a daughter of a nobleman, her true love Kwon-Yoo, a servant and the man who will be King, Prince Sungwon.",South Korea,6.1,122 min
Hide & Seek,2014,"Drama, Romance",Unrated,tt2723176,Daniel Metz,Joanna Coates,"Josh O'Connor, Hannah Arterton, Rea Mole","Four fragile young people flee London to start an unconventional utopia, creating a world of fantasy that overwhelms them.","United Kingdom, United States",4.5,82 min
Canone inverso - Making Love,2000,Drama,N/A,tt0208032,Paolo Maurensig,Ricky Tognazzi,"Hans Matheson, Mélanie Thierry, Lee Williams","Costanza is drinking a beer in a Prague pub, a summer night in 1968, while a violinist enters and starts playing a ""canone inverso"" for her. It is not a case, that music and that violin have a story behind that could concern her. ...",Italy,7.1,107 min
Aiyaary,2018,"Action, Crime, Drama",Not Rated,tt6774212,Neeraj Pandey,"Neeraj Pandey, Feroz Khan Bollybrothers","Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh","After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, and his mentor, a colonel, races to hunt him down.",India,5.3,157 min
Gumnaami,2019,"Action, Drama, History",Not Rated,tt10834986,Anuj Dhar,Srijit Mukherji,"Prasenjit Chatterjee, Anirban Bhattacharya, Tanushree Chakraborty",Gumnaami is a film based on the Mukherjee Commission Hearings which happened from 1999 to 2005 where the three theories about Netaji Subhas Chandra Bose's death were discussed and debated.,India,7.8,142 min
Khosla Ka Ghosla!,2006,"Comedy, Crime, Drama",Not Rated,tt0466460,Jaideep Sahni,"Dibakar Banerjee, Pravin E. Birje","Anupam Kher, Boman Irani, Parvin Dabas",A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,India,8.2,135 min
Ramayana: The Legend of Prince Rama,1993,"Animation, Action, Adventure",PG,tt0259534,Rani Burra,"Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","India, Japan",9.2,135 min
State of Siege: Temple Attack,2021,"Action, Thriller",N/A,tt14418234,William Borthwick,Ken Ghosh,"Akshaye Khanna, Gautam Rode, Vivek Dahiya","Inspired by true events, the film narrates the heroic tale of NSG commandos, who step in to save innocent people when terrorists attack a temple in Gujarat.",India,7.7,110 min
The Ministry of Ungentlemanly Warfare,2024,"Drama, War",N/A,tt5177120,Paul Tamasy,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer",The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,"United States, United Kingdom, Turkey",N/A,120 min
The Vaccine War,2023,"Drama, Thriller",N/A,tt23554840,Vivek Agnihotri,Vivek Agnihotri,"Anupam Kher, Nana Patekar, Raima Sen","Based on India's battle against Covid-19, and the efforts the medical department took to overcome the global crisis.",India,7.2,161 min
