Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
Jab Tak Hai Jaan,2012,"Drama, Romance",Not Rated,tt2176013,Aditya Chopra,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma",An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,India,6.7,176 min
Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical",Not Rated,tt2178470,Hussain Dalal,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",India,7.2,160 min
Shahid,2012,"Biography, Drama",Not Rated,tt2181831,Sameer Gautam Singh,Hansal Mehta,"Rajkummar Rao, Prabhleen Sandhu, Mohd. Zeeshan Ayyub","The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",India,8.2,129 min
English Vinglish,2012,"Comedy, Drama, Family",Not Rated,tt2181931,Gauri Shinde,Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",India,7.8,134 min
Vishwaroopam,2013,"Action, Thriller",Not Rated,tt2199711,H. Banerjee,Kamal Haasan,"Pooja Kumar, Miles Anderson, Kamal Haasan","When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",India,7.9,148 min
Aashiqui 2,2013,"Drama, Music, Musical",Not Rated,tt2203308,Shagufta Rafique,Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa",Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,India,7,132 min
RamLeela,2013,"Drama, Musical, Romance",Not Rated,tt2215477,Sanjay Leela Bhansali,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Supriya Pathak","Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",India,6.4,150 min
Robber,2013,"Drama, Romance",Not Rated,tt2224317,O. Henry,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha, Barun Chanda","An aristocrat's daughter falls in love with a visiting archaeologist, but he holds a secret that could drive them apart.",India,7.4,136 min
Jism 2,2012,"Drama, Romance, Thriller",N/A,tt2226666,Mahesh Bhatt,Pooja Bhatt,"Randeep Hooda, Arunoday Singh, Arif Zakaria","Izna, a porn star, is tasked by an Indian Intelligence Agency to seduce her ex-boyfriend Kabir, a dreaded assassin, in order to steal vital information relating to his sleeper cell contacts.",India,3.1,130 min
Ghanchakkar,2013,"Comedy, Crime, Thriller",N/A,tt2246724,Raj Kumar Gupta,Raj Kumar Gupta,"Emraan Hashmi, Vidya Balan, Amar Kaushik",A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,India,5.9,137 min
Charmurti,1978,Comedy,Not Rated,tt2265207,Umanath Bhattacharya,Umanath Bhattacharya,"Chinmoy Roy, Krishna Saha, Shambhu Ganguly","Based on Narayan Gangopadhyay’s creation, Potoldangar Charmurti is the story of Tenida and his three followers, who go on a holiday and end up solving a mystery case.",India,7.7,112 min
